doc_id_1,doc_id_2,text_1,text_2,fuzzy_similarity
123842_7840_34_35,123842_7840_34_35_sim1,van java st cust onder to feb groete onderstond ue goede vrunden was getekent visscher steinmetz von glan loten alepheet van der heijden de vos en tonneman junior in margine samarang den ianuarij onderstond accordeert get barenclouw secret rrembang aan den onder coopm zacharias de bensin resident aldaar titul ue briefje van den courant hebben wij wel ontfangen en overzulx mede de papieren daarbij gespecificeert en zal op zijn tijd gedagt werden aan de acoftij bescheidene post houde ren die versoek gedaan hebben hun te goed staan de maandgelden te mogen erlangen voor van eerste termijn dit lopende boekjaar terwijl hier bezijden gaat het testament van den over led sergeant ian van voorden van rotterd dat alhier is approbeert en daarom aan dies interresseerdens kan werden afgegeven mits gaders de novo aan den baas der rembangse timmerwerff gerecommandeert wat beter agt te geven van java cust onder dato febrij geven op het aanbouwen der vaartuijgen tot de zijlage alzo ue zulx zal consteeren bij rei teratie uijt nevens leggende extract haarer hoog edele groot agtb gevenereerde missive aan ons van den stantij waarbij op het spoedigste gerequireerd werden pantjall voor het gouvernement banda van lasten groot voeten diep in welke verwagting wij na groete blijven onderstond ue goede vrunden was getver visscher ts steinmetz von glan loten heijden de vos en tonneman junior in margine samarang den january de mattroosen willem iansz van velterk en hk paulusz van amsterdam varen mede over om coffij dienst te doen onder stond accordeert getp baren clouwsee samarang aan den agtb heer barth visscher opper coopman en gezaghebber over iava noord oost cust benevens den raad aldaar titul uw ed agtb missive dato ab laast led is mij welgeworden met de medicamenten daarin vermeld ik hebbe niet manqueert volgens eerde ordres op ontfangst derselve de daarin gesloote biljet aan comp loontrekkende dienaren voor te laten lesen en ter bequame plaets doen affigeeren so als mede de ordonneerde verstrekkinge gedaan waarvan de quitantie rol letjes met de drie maandelijkze papieren zal over,beter willem daarin,2
137253_8168_103_105,137253_8168_103_105_sim1,mgeasser met wier de lant regenten aldaar wel gedient zijn in zijn plaats ge stelt is van ons approbatie waerom dan ook dezelve gage ende ryst die petto voornoemt pleeght te hebben zeedert dat dienst heeft gedaan kunt geven dewijl de hooge regeringh tot batavia bij haar eerde schrijvens de dato en maart deeses iaars ons heeft gelieven aan te beveelen een pertinenter opneemingh te doen van alle geschut ende daar toebehoorende amonitie soo wel van des selffs qualiteyt als quantiteyt soo is dat present om zelve in ue distrect exactelijk te doen den boekzouder joost van costenobel brenger deeses expres gecommitteerdens daer wien ue dan ook niet ve alleen wegens voorsz maar ook van de vordere daar in loco wesende effecten visie sult moeten geven ten eijnde hij op zijn retoer ons dierwegen een pertinent raport magh doen onder geciteerde costenobel berusten ook de goede maanden voor het onder leggende guar nisoen die hij ook onder het zelve conform de hem daar van meede gegevene menorie onder behoorlijke quitantie saluijt deesen gelijk hij mede aan ter hant sal stellen vier maanden kost gelt voor zelve te weeten de maant maart apral meij ende iunij bedragende rx hier benevens bekomt ue op uwen eijsch te kan clappus olij kann lb sour lb peper nagelen foelij noten muskaten boek papier bos schaften ende px stux gomme lak als meede gesorteerde spijkers van arak souden ue mede gaarne hebben ver sorght dogh wij zijn daar van selfs onversien sulx zelve tot op een nader gelegentheijt blijf uijt gestelt ue kunt aan radia bontebanga naar affleg gingh van onse groete seggen dat wij tot nogh toe op zijn versoek geen antwoort van batavia hebben erlangt ende dat wij sulx bekomende hem de wet daar van zullen doen waar mleede deesen besluijtende zullen ue met comp omslagh aldaar de veijlige hoede godes bevoolen laaten ende ondertussen verblijve van onderstont ue toegenege vrundt was getekent francois prins ter zijden stont int casteel rotterdam op maccasser deesen en april bima aan den resident christoffel eersaame discreete nootnaagel wij hebben ul twee briefie van den en feb ende ende en april wel ontfangen die wij jn daagen na deesen sullen beantwoorden met het iaght de zijst dat wij ul van hier zullen toeschicken om aldaar jn teneemen lasten groene badjans die ue door haare hoogh ed ns gelast zijn aldaar over te koopen waar van wij gissen al een goede partij voor den ontfang deeses sal in gereetheijt zijn dogh minder jn prijs als hier de marck gangs is alsoo wij niet gaerne souden sien datse de prijs van de coojang gelijk se hier jngekoght wordt excederen dat ook ginder geheel niet apparent js waarmeede deesen besluytende zullen ul gode bevoolen ende gegroete laten van onderstont ul genegevrundt was getekent francois prins ter zijden stont int casteel rotterdam op maccasser deesen en april ao memorie voor den corporaal joost ebbing van stuatsburgh vertreckende nevens nogh twee ejropianen naar boeton ende de soequabessis eijlanden om aldaar de gewoonlijke iaarlix extripa tie der specerij boomen te doen de twee hier bij gevoegde memories die in den mn jaren en aan de corporals ian fransz tnippesaar ende iacob salenij die ten zelven eijnde als ue naar boeton waaren afgeschikt zijn ter handt gestelt zullen ue aanwysen wat aldaar te verrichten hebt,deeses peper waarmeede was gestelt,2
36000_1492_258_260,36000_1492_258_260_sim1,contract met uw hoog ed le gescr gemaak drie duijsent pard tot den lijwaat lande voor affgenoten hebben en gesieert sijn mitsgade is hun ernstig recommand de voornoem somma soo spoedig als doenlijck in goede en den same lijwaten na de monsters te besteeden en er des comp parkhuijsen te leveren als wan haar dan daar voor weder gelt sullen verstreck tgeen sij hebben aangenomen te achtervolgen sed den aug pass dat de coopmansz die onder de makelaars berustende waren door gecommitt opgenomen sijn en waar van bevindinge uw hoog ed le gestr nevens de onse nedrige letteren in alle onderdanigh toeges is hebben sij daar van sodanige goederen volgens opgeven ten bedragen van san hier en op de weeck marckten vercogt als de hier nevens leggende specificatie uw hoog ed gestr in alle eerbied sal vertloonen waar aen wij ons diepschuldig resereren dewijl de makelaars gelicencieert sijn van landregent op de weeck marckt van sivilepenij haar coopmansz uijt te venten soo minerale pper arreeck als andere haeren vermits de inlandsz coopluijden niets van die goederen komen aan te brengen soo hebben zij aan ons versogt dat wij haar lieden in dees gelegenth pard in coopmansz wilden verstrecken volgens contract welcke wij haar int gunstig welnemen van hoog ed le gestr hebben laten volgen en dat in soort als volgt seven bhaar iapans staaff koper de bhaar van lb vierentwintig lb nootenmuskaten nagelen do negentigh sesentwnti lb bengaalse sijde de helct cabesse en de helvt bariga vee hondert lb loot somma ofte sanems gerekent comt san dog onder conditie de coopluijde de penn daar voor bij verkooping in cassa sullen moeten tellen eer haarlieden weder cantreg teen teen off ander sal werden verstreckt twelk makelaars aangenomen hebben sodanig te volbrengen een regent carpenchittij maakt ons doorge groote moeijte met aanhouden van scomp en dat om den geheelen thol want hij met den thol niet schijnt geconteert te sijn maar pretendeert meerder van ons als den coop babba in contract met den manigaar arangapulle heeft bedongen waar op hem laten aanseggen doe de coopluijden de zijn levenden het een heel andere saack was vermits comp die nu selver van de wevers quam te negotieeren het niet in billigh bestont der meerder gegeven wiert als voor eenen op de buijten compt in gebruijck is geweest dog dien regent schijn weijnig agt op at ons seggen te geven ons nu in dese saack verder te doen stae verloopen in alle eerbiet van uw hoog ed gestr afte wagten om in toekomende on daar naar te reguleeren de zee brieff door uw hoog ed le gestr voor zes keuvens scheepje verleent is ons weder te rug gesonden vermits dien heer voorgeeft het te laat in den tijt was om sijn scheepje te kunnen naar bengale versenden dies deselve hier beseijden gaet als mede een versegelde ola voor uw hoog ed le gestr van dien vorst ook copia van een brieffje door den resident gast uijt killekare aan ons gesz waar in den keuver versoekt hem voor aanstaende jaer een zee brieff mag toekomen en waar bij ons adviseert den neuver hem een plaats om een woning voor comp te bouwen heeft laten aanwijsen mitsg nog twee kopia brieffjes onder dato en en deser door den resident huijbert caperman aen ons gecarteert uijt welcke laaste uw hoog ed sal blijcken hoe bereets al bargerese gewapende mooren sijnde partisipanten can sluijck vaartuijgen die tot collese grepatnam colleseqrepatnam op de wat staen en door besettinge gehouden werden verscheenen waren gerugten binnen weijnig dagen aldaer moorse vaartuijgen van calivoet stonden komen om gesegde op de wal staande barque med geweld aff te talen wat wij aan deselv daar op geantwoort hebben sullen uw hoog mo gestr afschriften daar van des believend aankonen den deser is hier van coechim wel aangeco het scheepje van comp coopman babba broeder abuga porba beladen met pper en aa wij hebben ten eersten begin med het losser van die goederen laten maacken en huijden daa mede gedaan werck gekregen en bevonden de uijtkomst van ingeladene van dat boi tje te beslaen in tvolgende heeft ingelad volgens cognoissement pper lb en heeft maar uijtgelevert mn komt te kort lb een verkoop van de nelij heerk weijnig voortganck door dien dagel jk een goede quant dier granen uijt het lant aangebragt en op de basaar verkogt werd tegens pard het last waar omme wij de onse vermits slegter is niet konnen verkoopen en soo lange den toevoer daar van continueert uijt tlant sien geen apparentie des comp nelij te slijten ten prijsen als hoog ed le gestr hebt gelieven te ordonneeren over sulcx eerbiedigh van hoog ed le gestr versoecken te verstaen wat ons daar mede te doen staat alsoo alhier nog ontrent de lasten in de packhuijsen berusten die door het lang leggen vrij veel van de rotten beschadigt wert en in sig selven bederft geen groote ondermaat veroorsaakt den resident luijkas pool heeft ons den en gelijck de nevens gaande verklaring door de gecommitt gegeven uw hoog ed le gestr sal aanthonen den arreek wel overhandigt sijnde gelijck courant me,en weeck koper dese laten van van uijt,2
116460_7784_258_259,116460_7784_258_259_sim1,van java oost cust den maart meeningh is hem voorvast op cadirij teblyven onthouden of niet de gesaghebbers van de hier sijn de scheepjens hebben aan den commandant jan faber geklaagt datsi hier voor haar volk soo veel rantsoen van kost niet krijgen als haar op batavia gegeven werd waar op genoemde commandant versogt heeft dat aan de scheepjens en vaartuijgen sodanige verstreecking voortaan van randsoen maandelijx magh gedaan worden als sij op batavia gewoon sijn te genieten of anders dat wij sulx uijt sijn endes gesaghebbers naame aan uw ho ed groot agtb geliedde te versoeken welke laaste wij hem gaarne hebben accordeerd geen wij dan bij desen met alle nedrigheijt versoeken van uw ho ed groot agtb temoogen weeten wat randloen wij op de scheepjens anders als wij nu doen sullen uijtrijken gaande tot uw hoog ed groot agtb eerdenaright hier besijde over de copia ordonnanties van soo danig half kostgeld en randsoen als wij maandelijkx aande schepen galjood chialoepen en van java oostcust den maart en pantjall komen te verstrecken geene wij meenen dat met uho ed groot agtb ordre bij missive van den maij aan den opperkoopman goodschalk en raad tot japara geschreeven is accordeerende behalve het kostgeld aan de varende op de scheepjens die soo veel genieten als op batavias rheede aan haar uijtge deelt word bovendien werter in plaats van lb booter een kan alijven olij verstrekt volgens de nadere ordre van den opperkoopman en getagh hebber de heer durant zalsz bij missive van den ber naar herwaarts ordonneerd op den deser heeft den cap sergeant de al hier ter rheed leggende scheepjes het galjood de leeuwerik en chialoup venloo door gecom mitteerdens ten overstaan van den commandant van kruijsvlootje ian faber laten visiteren en daar van sodanig een rapport bekoomen als origineel hier besyden tot uw hoog edelens groot agtb overgaat waar aan wij ons selve met alle nedrigheijt gedragen en aan gesien de slegte gesteldheijd van het jagtje de pool soo hebben wij geresolveerd om alle ongemacken door,van de daar,1
107279_7570_103_107,107279_7570_103_107_sim1,lakenen lakenen laken rassen uijt neederl ds uijt nederl na diverse alhier behaalde daar op geijscht ontf buijten comp omgeset advance verlooren versonden schair rood rc blauwe swarte groene witte coffij couleur gedrukte carmosijn rood geele olijf couleur laken rassen schair rood blauwe swarte groene as grauw coffij couleur lood purper bever lij gedrukte geele olijf couleur witte carmosijn rood frans greijs morel lavendel schair rood groene lakenen swarte ald daar advanse vers per co lakenen lakenen uijt nederl uijt neederl na disese alhier behaalde daar op eijscht ontf buijten compt om geset advan verlonen versonden plauwe prco rc geele coffij couleur curper olijf couleur bever witte gedrukte lood couleur pij as grauw laken rassen schair rood blauwe swarte groene witte coffij couleur geele purper frans grijs lood couleur gedrukte begras arcassie gem mahoed off poetjok carmosijn rood olijf couleur hair pij laken rassen ternaten lakenen uijt nederl uijt nederl na diverse alhier behaalde daar op eischt ontf buijten comp ongeset advancen verlooren versonden schair roode blauwe groene witte geele gedrukte carmosijn rood swarte coffij couleur lood couleur purper havi couleur frans grijs olijf couleur paken rassen van batavia daar op alhier behaalde daar op eijscht voldaan omgeset advancen verloren blaauwe pc swarte blauwe swarte blauwe swarte schair rood blaauwe schair rood swarte blauwe swart schair rood schair rood swart blauw blaauwe schair rood swart looren an lakenen lakenen uijt nederl uijt neederl na disse alhier behaalde da eijscht ontf buijte comptz om geset advanc va versonden plauwe prc geele coffij couleur curper olijf couleur bever witte gedrukte lood couleur pij as grauw laken rassen schair rood blauwe swarte groene witte coffij couleur geele purper frans grijs lood couleur gedrukte begras arcassie gem mahoed off poetjok carmosijn rood olijf couleur hair pij laken rassen ternaten lakenen schair roode prc blauwe groene witte geele gedrukte carmosijn rood swarte coffij couleur lood couleur purper havi couleur frans grijs olijf couleur laken rassen van batavia daar op alhier behaalde daar op eijscht voldaan omgeset advancen verloren blaauwe pc swarte blauwe swarte blauwe swarte schair rood blaauwe schair rood swarte blauwe swart schair rood schair rood swart blauw blaauwe schair rood swart uijt nederl uijt nederl na diverse alhier behaalde daar op eischt ontf buijten comp ongeset advancen verlooren versonden,schair comp versonden,2
119613_7806_29_30,119613_7806_29_30_sim1,van java oost cust den maart waargenomen door ong hap ko denodigtheden de doodt van den chinees capitn en sabandhaar limseenqua desalbendaije alze wan thans ons door particuliere berigten bekend geworden sijnde hebben wij onse pligt oordeelt ued hoog agtb bij dese eerbiedig teno tificeren dat de bandarije alh mits het afwesen van gem te peengqua behoorlijk waargenomen is door den chinees ongstapho dewelke daar inne nog blijft continueren tot volkomen genoegen van den soesoehoen soo als dat den commiss en command berigt geworden is door afgesondene van den rijxbestierd danoeredja oversulx soude men mogen onderstellen dat den vorst gaarne sien soude de aanstelling van gemelte ongkapko in stede van den overleden limpeenqqua tot capitn over de chinese natie alhier want ondergunstigh welduijden van ued hoog agtb gesegt konnen die beijde bedieningen niet wel van den anderen gesepareerd werden of men soude vastraken aan veele moeijelijkheden tot nadeel van den handel wijders verstont sigh den commiss en ccommand hier nevens tevoegen een eijs van provisien welke benodigt zijn in den eijsch om contant en andere tijd van ses maanden voor een duijsent europese dienaren van ecomp tevelde waar van de voldoening eerbiedig versogt werd hoe eerder hoe liever dewijl van de trains provisien niet meerder overig is als omtrent dertig legger arak op sourabaija oversulx verhoopt den commiss en command ued hoog agtb goetgunstigh welduijden soo desen thalven als over het ppel verdere versogte bij den voorschreven eijsch dewijl de cassa alh reets tot op rd geminderd en in de dispens van de verdere benodigtheden genoegsaam niets meer tevinden is andersints soude desen onteydigen eijsch niet afgesonden maar deselve gesurcheerdt van java oost cust den maart manschap alhier aan de wal soo werden sij onder het geleijde deses voortgeschikt na ued hoog agtb aan wien wij binnen korten en wanneer het onstuijmigh weir eenigsints sal zijn bedaardt sullen laten afgaan onse nedrige advisen concerne rende het gepasseerde en verrigtinge alhier jnmiddens dat wij met alle eerbiedt verblijven onderstond titul lager uw hoog edele gestr gants onderdanige en gehoorsame dienaren was getek dubbeldekop cool sauer joh sautijn vereke kersteman coster paravicini en genius in margine samarang den maart nog lager accordeert getek grotestraet gesw schriba samarang aan ed agtb heer jacob willem dubbeldekop commiss en command van java cust benevens den raadt ons laast eerbiedig schrijven aan ved agtb is geweest den deser de assistenten hend greven en johannes rexmits gad serg corp en gemeene militairen welckers bestellinge verhoope tsedert is ons op den deser retourneerende kandoer ean wilatikta en tommag djaija soedirga wel be deser nds ensar missij an gen steld ued agtb eerde miss van den soesoehoenang geconsigneert met desselfs afschriften in nederduijts waar uijt met lieff ontwaarde den ed heer jacob willem dubbeldek op commiss en command van javas oostcust in goede gesonth met sijn ed agtb gevolg worden on samarang was aangekomen titul de,van maanden eijsch niet,2
112051_7700_298_299,112051_7700_298_299_sim1,van bantam onder dato ber weegen aanboord gebragt wierden twee koe beesten met eenige groente tegens uuren een favorabel lugsje op komende ben ik al weder onder zeijl gegaan dog quam te uuren nademiddags ter houw onder het hooge land van bantam dit is het geen ik zedert mijn vertrek van batavia ontmoet en noodig geoordeelt heb be aan uw hoog edel te communiceeren daar en teegen moet ik ook alwijders bekend maken dat het jagt van den agtb raad van justitie dan wel de gecommitteerdens to het monsteren wel vier dagen lang mij agter aan gezeijld zyn dog na alle apparentie door de sterke tegenstroomen en slegte winden mijn schip niet hebben kon nen in halen en om dat op gem jacht hed zelfs niet meer in gezigt te dugten is dat de weste winden zomwijlen vroegtijds mogte door waagen hebben ik nog desen nademiddag de manschappen op mijn schip bescheijden laten monsteren en alles wel bevonden uijt genomen dat een van mijn lijff goude be reets overleeden is blykens de monster rolle hier nevens gevoegd zijnde ik van zijn morgen fo van bantam onder dato ber so de occagie het mogte presenteeren weder cours te gaan ten eijnde te zien of ik het hooge land van bantam te boven kan komen egter hebbe ik ordonneerd dat de chialoup de last drager mij tot een waterscheepje meede gegeven nog eenigen tijd al was het ook tot den laatsten deze maand toe onder het hooge land van bantam zal moe ten blijven leggen of ik altemets door tegen winden genoodsaakt mogte werden weder te rug te keeren want gem chialoup hadde bereets een anker verlooren en nog maar twee in voorraad waar het eene veel te ligt oversulx niet in rtaad was om verder meede te kunnen zeijlen vervolgens werd deze nog verzeld van de nodige ordres en zeijnen voor de overige negen retourscheepen onder mijn vlagge en oppergebied zorteren de benevens een copij dier ordres tot spe culatie van uw hoog edel ingevalle het zomwijlen mogte gebeuren dat gein re tour scheepen door een spoedige depeche en door favorable winden dat god geve volgende nog bij mij mogten komen waarmeede ik dese eyndige uw hoog edel personen,favorabel weder overige,2
23856_1369_996_997,23856_1369_996_997_sim1,soutmijne op sumatras west cust bij de voer of wagen man volgende stux paarden vraghtwagenen en daar toe maar vijff goede raderen speelwagen paarde tomen zeel hacken dogh deselen alle onbequaam tros die tot wagen strengen te gebruijcken bij de opperchirurgijn in sieckenhuijs volgende copere vijsel off mortier met ijsere stamper daartoe copere decoctie ketel pannetje onbequaam clisceeren spuijten andere tinne schaaltie met gewight posteleijne medecijn potten wat kleijnder groote glase flessen kleijne soo groote als kleene salfpotties houte sitbanckje paart sadel met sijn toebehoren onbequaam paar pistoolen met haar holsters stux naghtlampen daar van een bij de siekevader huijsmeubelen in opperhoofts woning als groote posteleijne schootels kleijne os nogh kleijder os japanse en tafel pierings chinese posteleijne water gorgolet porceleijne olij en kannetjes azijn boter pottjes porceleijne zoutvatjes mostert poltjen met silver beslagh en lepeltjen stux goutmijne op sumatras west cust anno stux japance chinese commen japanse pottjens met haar decksels kleijne potjens met haar dexels kleijne theeketels van coper quispidoors van copere pannen als groote en cleed copere blaakertje porceleijne waterpotten stoelen water fonteijn om de thuijn te natten schaar tot scheenen der schapen en bij de redout tot sillida volgende stux gesorteert geschut als stux metaled os van lb bals ijsere os als van lb bals stux gesorteert geschut als boven affuijtwagens en daar geschut op leght rampaarden gesorteerde bassen als stux metale camer bassen landtbassen ijsere onbequaam stuxbassen als vooren kleijne affuijtwagentjes tot de bassen metale camers tot de bassen daar van onbequaam schutlepels met haar vanckens sterten schutlepels wat kleijnder met haar varckens htaarten copere cardoes coocken van lb inhouts cruijthorens schutboor an,ketel toebehoren,2
16672_1290_479_481,16672_1290_479_481_sim1,jambij missive vanden coopman dirck de haes ende den raedt aen haer ede van dato maert idem als vooren van dato aug missive als vooren van dato september briefien vanden coopman dirck de haes aen haer ede register van aencomende papi desen jaere voor van dato september,ede,2
132676_8041_95_96,132676_8041_95_96_sim1,novemb banda op neira in casteel nassauw dubbelde bossen rottang java het subalcterjn hooft den adsistent ernst cnippingh wiert nu mede missive ordonneert voors steenbocq soo spoedigh doenelijck te ontlossen en als dan zijn depesche na die plaatse hem door mons stull bekent gemaakt te doen erlangen omme van daar een ladingh kalck aftehalen de chaloup pisang op de middagh retourneerde de chialoep piesang van eijlanden hij en rhun retourn van eij landen aijrhun hier weder ter rheede mede brengende men twee briefjes twee stucx brieffjes eene gesz door tp als eene gesz door bluse en an hijs opperhooft joannes bluse der van jan van en ander door den commanderent eerg op eijlant rhun wesende eerste van inhouwt dat de chialoep inhout van eerste siesangh met ses lasten rijs een dienste dat comptoir wel was aan gekomen dogh dat bij ontlossingh en naarmetingh niet meer dan vijff lasten en vier endertigh maten bevonden waren en oversulcx ses maten te kort jtem dat aldaar naar gissingh nogh wel twintigh lasten rijs geborgen konde werden als wanneer rijkelijck versien soude zijn drij soldaten weiren aldaar door de hant des heeren met seer quijnende siekte te burgh novemb banda op neira in casteel nassauw inhout van twee van blindheijd besogt waarom gem te opperhooft versogt dat deselve herwaarts gesonden en aldaar wederom drij andere soo in haar plaatse als tot versterkingh van dat swacke guarni soen gestiert mogte werden het ander en tweede briefje was van volgende inhout te weten dat de chialoep de pisangh op den en daar was aan gelandt welke hij op den en daar aan volgende met houtskolen hadde doen laden en herwaarts gesonden soo mede dat aldaar nogh wel vijff chialoeps ladingen van kolen in voorraat lagen wijders adviseerden voors cherg dat hem door mons bluse was gelast en aanbevolen partij houwt op de lengte van een vadem te kappen sonder dat denzelven wis waer aen toe dierhalven versogt te mogen weten deselve gebruijckt zoude werden om sigh daar na te reguleren eenigh onbequaam coolbranders gereetschap wiert nu mede herwaarts gesonden bestaande tzelve in bijlen harken parrings en houwelen seden nom de,te piesang te,1
