doc_id_1,inv_number_1,start_page_1,end_page_1,doc_id_2,inv_number_2,start_page_2,end_page_2,cosine_similarity,fuzzy_score,text_1,text_2
71569_2766_95_95,2766,95,95,71567_2766_93_93,2766,93,93,0.9612956518945355,100,van bassoura den junij verstreeken zijnde andermael smeekt hem van hier gelieven te verlossen daar inteegen versoekt den tweede teekenaer willem du mee om door uw hoog edelheedens al onberoemde gunst in deese post te mogen optreeden als sullende door een onvermoeiden ijver altoos traghten whoog edelheedens gratie meer en meer in te winnen wijders komt den adsistent pieter kuijper die men mits onse continueele ziekten van boucheer heeft opgeroepen hoog edelh te smeeken om tot boekhouder met de ordinaire gagie van wijl zijn tijd om die streek sal expireerd zijn en den adsistent jan duijts om tot absolut te mogen werden gevordert beloovende zij beijde en een jgelijk in besonden door een vlijtige oppas hun zulx waardig te maaken de manschappen onder dit comptoir behoorende,van bassoura den junij verstreeken zijnde andermael smeekt hem van hier gelieven te verlossen daar inteegen versoekt den tweede teekenaer willem du mee om door uw hoog edelheedens al onberoemde gunst in deese post te mogen optreeden als sullende door een onvermoeiden ijver altoos traghten whoog edelheedens gratie meer en meer in te winnen wijders komt den adsistent pieter kuijper die men mits onse continueele ziekten van boucheer heeft opgeroepen hoogedelh te smeeken om tot boekhouder met de ordinaire gagie van wijl zijn tijd om die streek sal expireerd zijn en den adsistent jan duijts om tot absolut te mogen werden gevordert beloovende zij beijde en een jgelijk in besonder door een vlijtige oppas hun zulx waardig te maaken de manschappen onder dit comptoir behoorende
17798_1304_175_175,1304,175,175,17795_1304_173_173,1304,173,173,0.9967984732888151,100,fo japan op de reijse nae sedo april coulijs off dragers tot de oude prijs paarden en coulijs gehuurt tolcken onbeschaam de dieven daer nae quam de huurder vande draegers ofte coulijs die mede geerne meerder loon soude hebben gehadt dan hij liet sigh eijndelijcq met de oude prijs van voor ijder vergenoegen ende met dese inleijdingh van der tolcken onbe schaemde dieverije op de reijs onkosten eijndighde den eersten dagh van april maandagh den opper en ondertolcq met de huurders van paerden ende dragers overslagh gemaackt hebbende van de goederen die nae jedo sullen worden gevoert komen mij aenseggen dat daer toe paerden en coulijs souden moeten worden gebruijckt gelijck sij dan oocq soodanigen getal hebben gehuurt sonder dat mijn misnoegen over dese groote onredelijckheijt daer in ijets heeft konnen helpen over twee jaeren is het getal van paerden en nogh meer als te veel geweest daer onder gereeckent voor eenige goederen van pheso sacquemon en de burgermeesters van nangasackij voorleden iaer hebben het de tolcken op en nu op gebraght en noghtans en isser in getal van de packen die als doen opgevoert sijn ende gene die nu nae jedo gebraght moeten worden geen ofte seer wijnigh verschil sulcx het niet alleen te beklagen sij datmen dese grove dieverije niet en kan voor komen maer oocq te dughten dat het daer mede in aanstaande niet en sal beteren de bonjoisen die ons geleijden bemercken wel dat met ons onreghtvaardigh word gehandelt maer sij sijn arm en worden door schenckagie van de tolcken al siende blint gemaeckt soo dat het geleijden van de nederlanders nu al een benefitie geworden is tot betalingh van de bovengemelte paarden en dragers midsgaders norimondragers heb icq dan aan den oppertolcq kitsje zeijmon behandight goude coubangs nae dat hij mij op mijn begeeren al vooren een reecq daer van in iapans geschreven hadde behandight om bewaard te worden ofse nogh een off ander tijt konde te passe komen dan,fo japan op de reijse nae sedo april coulijs off dragers tot de oude prijs paarden en coulijs gehuurt tolcken onbeschaam de dieven daer nae quam de huurder vande draegers ofte coulijs die mede geerne meerder loon soude hebben gehadt dan hij liet sigh eijndelijcq met de oude prijs van voor ijder vergenoegen ende met dese inleijdingh van der tolcken onbe schaemde dieverije op de reijs onkosten eijndighde den eersten dagh van april maandagh den opper en ondertolcq met de huurders van paerden ende dragers overslagh gemaackt hebbende van de goederen die nae jedo sullen worden gevoert komen mij aenseggen dat daer toe paerden en coulijs souden moeten worden gebruijckt gelijck sij dan oocq soodanigen getal hebben gehuurt sonder dat mijn misnoegen over dese groote onredelijckheijt daer in ijets heeft konnen helpen over twee jaeren is het getal van paerden en nogh meer als te veel geweest daer onder gereeckent voor eenige goederen van pheso sacquemon ene de burgermeesters van nangasackij voorleden iaer hebben het de tolcken op en nu op gebraght en noghtans en isser in getal van de packen die als doen opgevoert sijn ende gene die nu nae jedo gebraght moeten worden geen ofte seer wijnigh verschil sulcx het niet alleen te beklagen sij datmen dese grove dieverije niet en kan voorkomen maer oocq te dughten dat het daer mede in aanstaande niet en sal beteren de bonjoisen die ons geleijden bemercken wel dat met ons onreghtvaardigh word gehandelt maer sij sijn arm en worden door schenckagie van de tolcken al siende blint gemaeckt soo dat het geleijden van de nederlanders nu al een benefitie geworden is tot betalingh van de bovengemelte paarden en dragers midsgaders norimondragers heb icq dan aan den oppertolcq kitsje zeijmon behandight goude coubangs nae dat hij mij op mijn begeeren al vooren een reecq daer van in iapans geschreven hadde behandight om bewaard te worden ofse nogh een off ander tijt konde te passe komen dan
74500_2824_121_121,2824,121,121,74364_2824_122_122,2824,122,122,0.9113061598308895,100,van cabo de goede hoop den decemb van cabo de goede hoop den decemb is komen te arriveeren het schip witsburg dat den iulij pass van goere zee gelopen zijnde voorts van den tot den aug daer aan ter verversing aan het eijland iago heeft geleegen en hier mede desen besluijtende bevelen wij uwe wel edele groot agtb re seer geeerde persoonen nevens de importante belangen der comp inde bescherminge godes en blijven met verschuldigt respect onder stond wel edele erntfeste groot agtb re manhafte wel wijze voorsienig seer gene reuse heere en edele heeren lager uwe wel edele groot agtb re seer onderdanige en gehoorsame dienaaren was getekent swellengrebel meinertzzagen de ruijter heijning brand en de grandpreez in margine in casteel de goede hoop den december register den brie ven en papieren dewelke onder huijdigen datum van hier werden afgesonden aan sijn hoog edelheijd mijne heere den gouverneur gene raal jacob mossel ende de edele heeren raaden van india tot batavia de scheepen witsburg ende batavier nament lijk origineele missive door den edelen heer rijk tulbagh nevens den raad deeser plaatse aan hoogstgem sijn hoog edelheid ende edele heeren raden voorm geconsigneert twee copia authenticq door en aen als evengem geschree met bij de de scheepen ven schip torenvliet subdato en deser lopende maand xber register,ee van cabo de goede hoop den decemb van cabo de goede hoop den decemb is komen te arriveeren het schip witsbur dat den iulij pass van goere zee gelopen zijnde voorts van den tot den aug daer aan ter verversing aan het eijland iago heeft geleegen en hier mede desen besluijtende bevelen wij uwe wel edele groot agtb re seer geeerde persoonen nevens de importante belang der comp inde bescherminge godes en blijven met verschuldigt respect onder stond wel edele erntfeste groot agtb re manhafte wel wijze voorsienig seer gen reuse heere en edele heeren lager uwe wel edele groot agtb re seer onderdanige en gehoorsame dienaaren was getekent swellengrebel meinertzhagen de ruijter heijning brand en de grandpreez in margine in casteel de goede hoop den december register den beil ven en papieren dewelke onder huijdigen datum van hier werden afgesonden aan sijn hoog edelheijd mijne heere den gouverneur gene raal jacob mossel ende de edele heeren raaden van india tot batavia de scheepen witsburg ende batavier nament lijk origineele missive door den edelen heer rijk tulbagh nevens den raad deeser plaatse aan hoogstgem sijn hoog edelheid ende edele heeren raden voorm geconsigneert twee copia authenticq door en aen als evengem geschree met bij de de scheepen ven schip torenvliet subdato en deser lopende maand xber register
74500_2824_121_121,2824,121,121,74501_2824_122_122,2824,122,122,0.9113061598308895,100,van cabo de goede hoop den decemb van cabo de goede hoop den decemb is komen te arriveeren het schip witsburg dat den iulij pass van goere zee gelopen zijnde voorts van den tot den aug daer aan ter verversing aan het eijland iago heeft geleegen en hier mede desen besluijtende bevelen wij uwe wel edele groot agtb re seer geeerde persoonen nevens de importante belangen der comp inde bescherminge godes en blijven met verschuldigt respect onder stond wel edele erntfeste groot agtb re manhafte wel wijze voorsienig seer gene reuse heere en edele heeren lager uwe wel edele groot agtb re seer onderdanige en gehoorsame dienaaren was getekent swellengrebel meinertzzagen de ruijter heijning brand en de grandpreez in margine in casteel de goede hoop den december register den brie ven en papieren dewelke onder huijdigen datum van hier werden afgesonden aan sijn hoog edelheijd mijne heere den gouverneur gene raal jacob mossel ende de edele heeren raaden van india tot batavia de scheepen witsburg ende batavier nament lijk origineele missive door den edelen heer rijk tulbagh nevens den raad deeser plaatse aan hoogstgem sijn hoog edelheid ende edele heeren raden voorm geconsigneert twee copia authenticq door en aen als evengem geschree met bij de de scheepen ven schip torenvliet subdato en deser lopende maand xber register,ee van cabo de goede hoop den decemb van cabo de goede hoop den decemb is komen te arriveeren het schip witsbur dat den iulij pass van goere zee gelopen zijnde voorts van den tot den aug daer aan ter verversing aan het eijland iago heeft geleegen en hier mede desen besluijtende bevelen wij uwe wel edele groot agtb re seer geeerde persoonen nevens de importante belang der comp inde bescherminge godes en blijven met verschuldigt respect onder stond wel edele erntfeste groot agtb re manhafte wel wijze voorsienig seer gen reuse heere en edele heeren lager uwe wel edele groot agtb re seer onderdanige en gehoorsame dienaaren was getekent swellengrebel meinertzhagen de ruijter heijning brand en de grandpreez in margine in casteel de goede hoop den december register den beil ven en papieren dewelke onder huijdigen datum van hier werden afgesonden aan sijn hoog edelheijd mijne heere den gouverneur gene raal jacob mossel ende de edele heeren raaden van india tot batavia de scheepen witsburg ende batavier nament lijk origineele missive door den edelen heer rijk tulbagh nevens den raad deeser plaatse aan hoogstgem sijn hoog edelheid ende edele heeren raden voorm geconsigneert twee copia authenticq door en aen als evengem geschree met bij de de scheepen ven schip torenvliet subdato en deser lopende maand xber register
74501_2824_122_122,2824,122,122,74363_2824_121_121,2824,121,121,0.9113061598308895,100,ee van cabo de goede hoop den decemb van cabo de goede hoop den decemb is komen te arriveeren het schip witsbur dat den iulij pass van goere zee gelopen zijnde voorts van den tot den aug daer aan ter verversing aan het eijland iago heeft geleegen en hier mede desen besluijtende bevelen wij uwe wel edele groot agtb re seer geeerde persoonen nevens de importante belang der comp inde bescherminge godes en blijven met verschuldigt respect onder stond wel edele erntfeste groot agtb re manhafte wel wijze voorsienig seer gen reuse heere en edele heeren lager uwe wel edele groot agtb re seer onderdanige en gehoorsame dienaaren was getekent swellengrebel meinertzhagen de ruijter heijning brand en de grandpreez in margine in casteel de goede hoop den december register den beil ven en papieren dewelke onder huijdigen datum van hier werden afgesonden aan sijn hoog edelheijd mijne heere den gouverneur gene raal jacob mossel ende de edele heeren raaden van india tot batavia de scheepen witsburg ende batavier nament lijk origineele missive door den edelen heer rijk tulbagh nevens den raad deeser plaatse aan hoogstgem sijn hoog edelheid ende edele heeren raden voorm geconsigneert twee copia authenticq door en aen als evengem geschree met bij de de scheepen ven schip torenvliet subdato en deser lopende maand xber register,van cabo de goede hoop den decemb van cabo de goede hoop den decemb is komen te arriveeren het schip witsburg dat den iulij pass van goere zee gelopen zijnde voorts van den tot den aug daer aan ter verversing aan het eijland iago heeft geleegen en hier mede desen besluijtende bevelen wij uwe wel edele groot agtb re seer geeerde persoonen nevens de importante belangen der comp inde bescherminge godes en blijven met verschuldigt respect onder stond wel edele erntfeste groot agtb re manhafte wel wijze voorsienig seer gene reuse heere en edele heeren lager uwe wel edele groot agtb re seer onderdanige en gehoorsame dienaaren was getekent swellengrebel meinertzzagen de ruijter heijning brand en de grandpreez in margine in casteel de goede hoop den december register den brie ven en papieren dewelke onder huijdigen datum van hier werden afgesonden aan sijn hoog edelheijd mijne heere den gouverneur gene raal jacob mossel ende de edele heeren raaden van india tot batavia de scheepen witsburg ende batavier nament lijk origineele missive door den edelen heer rijk tulbagh nevens den raad deeser plaatse aan hoogstgem sijn hoog edelheid ende edele heeren raden voorm geconsigneert twee copia authenticq door en aen als evengem geschree met bij de de scheepen ven schip torenvliet subdato en deser lopende maand xber register
74363_2824_121_121,2824,121,121,74364_2824_122_122,2824,122,122,0.9113061598308895,100,van cabo de goede hoop den decemb van cabo de goede hoop den decemb is komen te arriveeren het schip witsburg dat den iulij pass van goere zee gelopen zijnde voorts van den tot den aug daer aan ter verversing aan het eijland iago heeft geleegen en hier mede desen besluijtende bevelen wij uwe wel edele groot agtb re seer geeerde persoonen nevens de importante belangen der comp inde bescherminge godes en blijven met verschuldigt respect onder stond wel edele erntfeste groot agtb re manhafte wel wijze voorsienig seer gene reuse heere en edele heeren lager uwe wel edele groot agtb re seer onderdanige en gehoorsame dienaaren was getekent swellengrebel meinertzzagen de ruijter heijning brand en de grandpreez in margine in casteel de goede hoop den december register den brie ven en papieren dewelke onder huijdigen datum van hier werden afgesonden aan sijn hoog edelheijd mijne heere den gouverneur gene raal jacob mossel ende de edele heeren raaden van india tot batavia de scheepen witsburg ende batavier nament lijk origineele missive door den edelen heer rijk tulbagh nevens den raad deeser plaatse aan hoogstgem sijn hoog edelheid ende edele heeren raden voorm geconsigneert twee copia authenticq door en aen als evengem geschree met bij de de scheepen ven schip torenvliet subdato en deser lopende maand xber register,ee van cabo de goede hoop den decemb van cabo de goede hoop den decemb is komen te arriveeren het schip witsbur dat den iulij pass van goere zee gelopen zijnde voorts van den tot den aug daer aan ter verversing aan het eijland iago heeft geleegen en hier mede desen besluijtende bevelen wij uwe wel edele groot agtb re seer geeerde persoonen nevens de importante belang der comp inde bescherminge godes en blijven met verschuldigt respect onder stond wel edele erntfeste groot agtb re manhafte wel wijze voorsienig seer gen reuse heere en edele heeren lager uwe wel edele groot agtb re seer onderdanige en gehoorsame dienaaren was getekent swellengrebel meinertzhagen de ruijter heijning brand en de grandpreez in margine in casteel de goede hoop den december register den beil ven en papieren dewelke onder huijdigen datum van hier werden afgesonden aan sijn hoog edelheijd mijne heere den gouverneur gene raal jacob mossel ende de edele heeren raaden van india tot batavia de scheepen witsburg ende batavier nament lijk origineele missive door den edelen heer rijk tulbagh nevens den raad deeser plaatse aan hoogstgem sijn hoog edelheid ende edele heeren raden voorm geconsigneert twee copia authenticq door en aen als evengem geschree met bij de de scheepen ven schip torenvliet subdato en deser lopende maand xber register
24267_1376_119_119,1376,119,119,24269_1376_121_123,1376,121,123,0.9908836656352203,100,arracan januarij per de berckmeer pr schip honsholredijk anno oontfangen junij register der papieren originele missive vanden resident dirck vonck en den raad in arracan aan haar ed gesz in dato april met appendixen dato ende meij zijnde met het schip den briel affgesonden geweest nader originele missive van gemelte resident vonck en raad tot arracan aen haer ed gesz in dato augustij zijnde mede met het schip den briel affgesonde geweest item nog originele missive door meergemelte resident vonck en raad in arracan aan haar ed gesz in dato decemb verclaring wegens verongelucken vant schip den briel door desselffs opperhooffde belegt in dato octob clagten vanden schipper van gem schip over zijne stierluijden gedaan dato decemb rapport door den ondercoopman en gewesen arracans resident aan haar ede tot batavia overgelevert in dato januarij memorie door den ondercoopman dirck vonck den fransman ledue in arracan tsijner narigt gelaten in dato decemb translaat missive door de coninck van arracan aen zijn ed gesz relaas bij forme van confessie door seeckeren gevlugten nederlander mighiel jacobs van hertogenbosch gedaan in dato novemb,arracan januarij per de berckmeer pr schip honsholredijk anno ontfangen junij register der papieren originele missive vanden resident dirck vonck en den raad in arracan aan haar ed gesz in dato april met appendixen dato ende meij zijnde met het schip den briel affgesonden geweest nader originele missive van gemelte resident vonck en raad tot arracan aen haer ed gesz in dato augustij zijnde mede met het schip den briel affgesonde geweest item nog originele missive door meergemelte resident vonck en raad in arracan aan haar ed gesz in dato decemb verclaring wegens verongelucken vant schip den briel door desselffs opperhooffde belegt in dato octob clagten vanden schipper van gem schip over zijne stierluijden gedaan dato decemb rapport doorden ondercoopman en gewesen arracans resident aan haar ede tot batavia overgelevert in dato januarij memorie door den ondercoopman dirck vonck den fransman ledue in arracan tsijner narigt gelaten in dato decemb translaat missive door de coninck van arracan aen zijn ed gesz relaas bij forme van confessie door seeckeren gevlugten nederlander mighiel jacobs van hertogenbosch gedaan in dato novemb
90083_3345_45_45,3345,45,45,90081_3345_43_43,3345,43,43,0.9564669695709572,100,naaerien extract uijt een missive door de cormandelse regeering aan haar hoog edelheedens de edele hooge jndiasche regee ring te batavia de dato junij gecarteerd jngevolge het bedeelde bij onse jongste eerbiedige advisen van den januarij jongstleeden de pallia catse cooplieden ten eenemaal afgesien hebbende van de leverantie van de van daar gevorderde packen bethilles ternatanes om soodanige reedenen als daar bij vermeld staan insonderheijd dat deselve voor de tot dus lange betaalde prijsen soo deugdsaam niet besorgd konden werden dat bij de comp ac ceptabel soude sijn soo heeft men om dat gebreck eenigsints soo het mogelijk is te suppleeren door de cooplieden alhier eenige stucken tot monsters van dat goed laten vervaardigen en deselve teegens een alhier sijnde monster stuck van palliacatta van den jaare geconfronteerd weesende bevond men dat deselve nog al reedelijk wel is uijtgevallen soo in calen als draden hoewil deese laaste off de draden in alles soo sijn niet bevonden sijn als de palliacatse dog egter daar en teegen een groot verschil in de prijs is teegens die op palliacatta wierd,naaerien extract uijt een missive door de cormandelse regeering aan haar hoog edelheedens de edele hooge indiasche regee ring te batavia de dato junij gecarteerd ingevolge het bedeelde bij onse jongste eerbiedige advisen van den januarij jongstleeden de pallia catse cooplieden ten eenemaal afgesien hebbende van de leverantie van de van daar gevorderde packen bethilles ternatanes om soodanige reedenen als daar bij vermeld staan insonderheijd dat deselve voor de tot dus lange betaalde prijsen soo deugdsaam niet besorgd konden werden dat bij de comp ac ceptabel soude sijn soo heeft men om dat gebreck eenigsints soo het mogelijk is te suppleeren door de cooplieden alhier eenige stucken tot monsters van dat goed laten vervaardigen en deselve teegens een alhier sijnde monster stuck van palliacatta van den jaare geconfronteerd weesende bevond men dat deselve nog al reedelijk wel is uijtgevallen soo in calen als draden hoewel deese laaste off de draden in alles soo sijn niet bevonden sijn als de palliacatse dog egter daar en teegen een groot verschil in de prijs is teegens die op palliacatta wierd ut
45636_1610_51_51,1610,51,51,45635_1610_50_50,1610,50,50,0.9860474228134591,100,folio van sumatras west cust den novemb register der papieren dewelke op heden ter ordre van hr cornelis beerninck oppercoopman en gesaghebber benevens den raed deser custe vervaardight en met het jagtje de andromeda na batavia versonden werden geconsigneert aan den wel ed heere willem van outhoorn gouv generael ende edele heeren raden van ts jndia register deses een originele missive door den heere gesaghebber en raad aan haar hoog ed de hooge regering van jndia onder desen datum gesz een copia door en aan als vooren gesz in dato october stantij met het geroofd japaarse scheepje een originele beslooten missive door weesmeesteren deser plaatse aan heeren weesmeesteren tot batavia gesz een copia missive door den heer gesaghebber en raad deser custe aen de heer mattheus mildmaij gouvern en verdere leden van den raad wegens de honorabele engelse oost indische comp tot bancaoule gesz in dato ult october nieuwe stijl een reecq wegens geconfisqueerd zout tot baros nevens drie daar aan gehegte verclarings een request van den onderstuurman en opsiender der equipagie aan haar hoog ed geaddresseert vier stux eerste wisselbrieven van en aan diverse persoonen twee stux assaij rapportjes wegens alhier tot padang en poulo chinco genegotieerde en als nu na batavia sendende gout een kasje gemerkt waar in beslooten zijn een stel soldij boecken der jaren geconsigneert aan opperhooft van de logie ioannes eduarts den eijsch der benodigtheden voor dese cust een factuur van in desen bodem geladene cargasoen benevens daar aen gebonden verklaringen een cognossement van dito no,folio van sumatras west cust den novemb register der papieren dewelke op heden ter ordre van cornelis beerninck oppercoopman en gesaghebber benevens den raed deser custe vervaardight en met het jagtje de andromeda na batavia versonden werden geconsigneert aan den wel ed heere willem van outhoorn gouv generael ende edele heeren raden van ts jndia register deses een originele missive door den heere gesaghebber en raad aan haar hoog ed de hooge regering van india onder desen datum gesz een copia door en aan als vooren gesz in dato october stantij met het geroofd japaarse scheepje een originele beslooten missive door weesmeesteren deser plaatse aan heeren weesmeesteren tot batavia gesz een copia missive door den heer gesaghebber en raad deser custe aen de heer mattheus mildmaij gouvern en verdere beden van den raad wegens de honorabele engelse oost indische comp tot bancaoule gesz in dato ult october nieuwe stijl een reecq wegens geconfisqueerd zout tot baros nevens drie daar aan gehegte verclarings een request vanden onderstuurman en opsiender der equipagie aan haar hoog ed geaddresseert vier stux eerste wisselbrieven van en aan diverse persoonen twee stux assaij rapportjes wegens alhier tot padang en poulo chinco genegotieerde en als nu na batavia sendende gout een kasje gemerkt ge waar in beslooten zijn een stel soldij boecken der jaren geconsigneert aan opperhooft van de logie ioannes eduarts den eijsch der benodigtheden voor dese cust een factuur van in desen bodem geladene cargasoen benevens daar aen gebonden verklaringen een cognossement van dito no
45636_1610_51_51,1610,51,51,45634_1610_50_50,1610,50,50,0.9860474228134591,100,folio van sumatras west cust den novemb register der papieren dewelke op heden ter ordre van hr cornelis beerninck oppercoopman en gesaghebber benevens den raed deser custe vervaardight en met het jagtje de andromeda na batavia versonden werden geconsigneert aan den wel ed heere willem van outhoorn gouv generael ende edele heeren raden van ts jndia register deses een originele missive door den heere gesaghebber en raad aan haar hoog ed de hooge regering van jndia onder desen datum gesz een copia door en aan als vooren gesz in dato october stantij met het geroofd japaarse scheepje een originele beslooten missive door weesmeesteren deser plaatse aan heeren weesmeesteren tot batavia gesz een copia missive door den heer gesaghebber en raad deser custe aen de heer mattheus mildmaij gouvern en verdere leden van den raad wegens de honorabele engelse oost indische comp tot bancaoule gesz in dato ult october nieuwe stijl een reecq wegens geconfisqueerd zout tot baros nevens drie daar aan gehegte verclarings een request van den onderstuurman en opsiender der equipagie aan haar hoog ed geaddresseert vier stux eerste wisselbrieven van en aan diverse persoonen twee stux assaij rapportjes wegens alhier tot padang en poulo chinco genegotieerde en als nu na batavia sendende gout een kasje gemerkt waar in beslooten zijn een stel soldij boecken der jaren geconsigneert aan opperhooft van de logie ioannes eduarts den eijsch der benodigtheden voor dese cust een factuur van in desen bodem geladene cargasoen benevens daar aen gebonden verklaringen een cognossement van dito no,folio van sumatras west cust den novemb register der papieren dewelke op heden ter ordre van cornelis beerninck oppercoopman en gesaghebber benevens den raed deser custe vervaardight en met het jagtje de andromeda na batavia versonden werden geconsigneert aan den wel ed heere willem van outhoorn gouv generael ende edele heeren raden van ts jndia register deses een originele missive door den heere gesaghebber en raad aan haar hoog ed de hooge regering van india onder desen datum gesz een copia door en aan als vooren gesz in dato october stantij met het geroofd japaarse scheepje een originele beslooten missive door weesmeesteren deser plaatse aan heeren weesmeesteren tot batavia gesz een copia missive door den heer gesaghebber en raad deser custe aen de heer mattheus mildmaij gouvern en verdere beden van den raad wegens de honorabele engelse oost indische comp tot bancaoule gesz in dato ult october nieuwe stijl een reecq wegens geconfisqueerd zout tot baros nevens drie daar aan gehegte verclarings een request vanden onderstuurman en opsiender der equipagie aan haar hoog ed geaddresseert vier stux eerste wisselbrieven van en aan diverse persoonen twee stux assaij rapportjes wegens alhier tot padang en poulo chinco genegotieerde en als nu na batavia sendende gout een kasje gemerkt ge waar in beslooten zijn een stel soldij boecken der jaren geconsigneert aan opperhooft van de logie ioannes eduarts den eijsch der benodigtheden voor dese cust een factuur van in desen bodem geladene cargasoen benevens daar aen gebonden verklaringen een cognossement van dito no
